"SVM_LABEL","SVM_PROB","sentiment_nya","tweet"
"2",0.536832702528563,"Positive","If you listen once a year it DOES sound impressiveI am all set till spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce"
"2",0.545607240448629,"Positive","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmejust look at this guy"
"2",0.502563908128418,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmeno"
"2",0.506921226822539,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmeWill you marry my sister"
"2",0.502563908128418,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmetsla"
"2",0.502563908128418,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmefutures"
"1",0.51251576760881,"Negative","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stkp baba spceDidcall this dip down toish with market profile in his video yesterday"
"1",0.500271300444414,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spceWill there be a massive reflationary rotation arriving in markets in nd quarter of this yearPerhaps largest we have seen"
"2",0.502474634496336,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spceamc"
"2",0.502563908128418,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmeamc"
"2",0.515361189667463,"Positive","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spcefrsx wow is that a bubble"
"1",0.529428961495659,"Negative","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba gmeSomething really wrong with thisminute chart"
"2",0.50260853907586,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmegoco xlf"
"2",0.502519273286041,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stkp baba spce xspa"
"2",0.502563908128418,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gme"
"2",0.506931617226374,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmepltr demo day"
"2",0.505736238665915,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmeHOW DO EXPERTS SAY WE ARE FEELING"
"2",0.515618287582216,"Positive","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmeaapl is gonna put on its new head phones and rock out"
"2",0.515676197418878,"Positive","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stkp baba spcespx market profile shows gap to fill possibly  toSomething to watch on the downside"
"1",0.53412189696096,"Negative","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spceEtsy didnt get a bump"
"1",0.506016629383206,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spcefutures flat"
"1",0.516880371571028,"Negative","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc ma stpk baba spceIF fed is not allowed to play directly in markets they could have FAKE HEDGE FUNDS make FEDS bets for IT Even if illegal Its possible"
"2",0.502563908128418,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spcetdocRSI not aboveyetGoing tohuh"
"2",0.604615123764711,"Positive","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc ma stpk baba spceIF fed can fake it for good and not evil with people fund sponsored by American people who donate to one bankroll"
"2",0.503033512375624,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spceYou would buy tsla for wheel if you could huh"
"2",0.502562794687173,"Neutral","xspaSave Air Travel Industryspy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba"
"2",0.50260853907586,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gmecheck it out when you are bored"
"1",0.50255577650136,"Neutral","If you listen once a DAY it DOES sound impressiveI am all set till TOMORROWspy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce"
"2",0.502474634496336,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce"
"1",0.502933077384441,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stkp baba spcecut my position of aaplon Friday at ish as a worry wortbuying back if overatam Tuesday"
"1",0.50583739059483,"Neutral","xspaspy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba Pop Ups EverywhereSave Air Travel Industry"
"2",0.511271917169305,"Positive","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdocWould you vote to allow gov to buysell assets purchased WITH a donation fund where profits go directly towards national debt"
"2",0.55215762156334,"Positive","cciv and lucid is still a mystery correctevgo spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stkp baba spce"
"1",0.523985890428725,"Negative","Keep Buying and dont think aboutSTOCKS STOCKMARKET TRADING SPX SPY VIX UVXY VXX XIV AAPL AMZN GS DB C MSFT GOOGL FB"
"1",0.531779236821109,"Negative","GOOGL is flagging into earnings currently if long i would be aiming for"
"1",0.507233786989468,"Neutral","With past performance like this how can you not sign up for a Free day trial toWinning Option Swing Trades SinceBABA GOOGL TSLA BIDU"
"1",0.507233786989468,"Neutral","With past performance like this how can you not sign up for a Free day trial toWinning Option Swing Trades SinceAMZN GOOGL NFLX FB AAPL"
"1",0.507233786989468,"Neutral","With past performance like this how can you not sign up for a Free day trial toWinning Option Swing Trades SinceAMZN GOOGL BABA MSFT"
"2",0.520194890096906,"Positive","Try our Option Swing Trading service built for individuals who want to trade around their fulltime careers Take a free day trail No Credit CardAAPL JPM GOOGL"
"2",0.501870944705792,"Neutral","GME to buy GOOGL in an all stock deal"
"2",0.567375761735699,"Positive","HTSC Lithium is not the major EV play Nickel is Nickel makes upof the TSLA battery HTSC hasNickel projects in Timmins Ontario See you atimoTINO HPST ATVK CBDD BLSP COUV IDEX EXN SOLO BLNK GM F GOOGL ABML ITRG ELYGF BFGC CCIV PVSP IDGC"
"1",0.506655211410503,"Neutral","Google revives Australia news platform launch amid content payment fight GOOGLAll the details"
"2",0.509613521541144,"Neutral","Google stops donations to US Congress members who voted against election results GOOGLThe story"
"1",0.511111829176732,"Negative","GOOGL Chart of The DayJanuary Impulsive Rally in Alphabet Incompleteelliottwave trading"
"1",0.533262623721569,"Negative","GOOGL right side remains higher we do not like to sell this name but like to look for areas where buyers may enter the market on pullbacksAs long as prices remain abovefurther extension higher can take place to gt Elliottwave Trading stocks"
"1",0.552673447152323,"Negative","GOOGL video fromJanuary looking at the short term Elliottwave pathtrading"
"2",0.502429991781881,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba"
"2",0.50260853907586,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spceamc gme fubo bbby bb"
"2",0.50876745491233,"Neutral","StopNo one is allowed to purchase anymore AMC unless you ate all of your vegetables at dinner limitupspy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce amc gme"
"1",0.510239700616592,"Negative","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spcevldrsuggestion to consider possibly"
"1",0.530661685265989,"Negative","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spceIs fed allowed to play futures exactly likeor"
"2",0.514704233363898,"Positive","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc ma stpk baba spceSO we could give fed permission to play the markets with ouras long as they promised not to talk about it go too far or ever lose"
"2",0.53649045197922,"Positive","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spcedont pay attention to noiseEsspecially old noise"
"1",0.546519449985705,"Negative","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spceamzn looks like butter"
"2",0.507097439743288,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spcevldr TikTokInvestors suggestionVelodyne Lidar signs multiyear sales agreement with Emesent"
"2",0.612995365082048,"Positive","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spceCan Fed and gov manipulate and take part in markets in a way that brings national debt down because it is profitable"
"1",0.545319216461477,"Negative","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba I swear Shadowtrader told us to watch out forlevel to fill this morning just bragging I saw it"
"2",0.502474634496336,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stkp baba spce"
"2",0.508625683808494,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spce Somehow I hope fed is makingsomehow from this increased activity to PAY for the brrrr"
"1",0.532527585857334,"Negative","I heard he might have called thisspy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stkp baba spcespx"
"2",0.502563908128418,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spceJanuary not over yetgm Monthly"
"2",0.502474634496336,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spcexspa"
"2",0.503122687697348,"Neutral","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spx and compq whipsaw actionDid you buy thay dip"
"2",0.578825566297794,"Positive","spy spx etsy ndx qqq tsla pltr aapl amzn twtr fb msft nflx crm penn nvda googl shop f tdoc pcty gld iyt usd ma stpk baba spceI love that cowbellxspaSave Air Travel Industry"
"1",0.511049598157196,"Negative","HTSC Here To Serve Holding Corp Announces Significant Increase in the Value of its Equity Portfolio HPST MITI CCIV BA ABML TINO ITRG ELYGF AMD TSLA GM INTC AMZN GOOGL IDGC WMT GE T UBID COUV NGTF IDVV PBIO CBDD ATWT"
"1",0.522665538197727,"Negative","HTSCNickel sulphide assay on their Gowan project Huge EV play Last tradeSee you at HPST MITI CCIV BA ABML TINO ITRG ELYGF AMD TSLA GM INTC AMZN GOOGL IDGC WMT GE T UBID COUV NGTF IDVV PBIO CBDD ATWT INKW GTEH WYNN LVS TGT FB Z"
"2",0.506344200626466,"Neutral","Watchlist for tomorrow SPY AAPL AMZN ABNB FB FUBO GME GOOGL MSFT OSTK PLUG SPCE SPWR TSLA WKHS"
"2",0.51493175924326,"Positive","Kept it small and simple with fed meeting today and tomorrow spy aapl amzn amd nflx nvda googl msft fb abnb blnk"
"1",0.553203139925743,"Negative","Virtual Worlds  impacting the gaming market stgoogl failed with their VR glasses premium gamesin game purchasesCAGR next catalyst is ARVR for gamingCAGR fb showed tech is almost there with Occulus being sold out VR gaming"
"2",0.538779609939094,"Positive","JanReutersAlphabet Incs Google said on Monday it will not make contributions from its political action committee this election cycle to any Congress member who voted against certifying the results of the presidential electionGOOGL"
"1",0.511432528364456,"Negative","FB GOOGL"
"1",0.506735666258185,"Neutral","EWF Chart of the day GOOGLtrading forex elliottwave FXsignals forexsignals pips tradingsignals"
"2",0.501627238049413,"Neutral","AAPL new ATH  days in a row MSFTawayFBawayNFLXawayNVDAawayGOOGLawayAMZNaway"
"1",0.505554924389057,"Neutral","mixed day nasdaq esf AAPL daytrading marketprofile futures spx zbf nqf clf GCf amzn XOM ibm googl AVGO WFM cvs bac td WMT COST WFC jnj GE GS tsla utx fb JPM dis MCD mo NKE TGT RHT V gcf"
"1",0.518356410726515,"Negative","high Open nasdaq esf AAPL daytrading marketprofile futures spx zbf nqf clf GCf amzn XOM ibm googl AVGO WFM cvs bac td WMT COST WFC jnj GE GS tsla utx fb JPM dis MCD mo NKE TGT RHT V gcf"
"1",0.599395340504059,"Negative","ARKK Cathie thinks more tech cos tail MSTR SQ amp buy bitcoin Plenty of candidates w tons of USDs on the balance sheet that are melting away at a pace never seen before AAPL MSFT GOOGL FB TSLA amp literally every single other oneQQQ BTC GBTC"
"1",0.610596213157993,"Negative","Even though seems like nonstop on CNBC is NeverCoiner rhetoric calling bitcoin a bubble comparing it to GME etcGOOGL trends nowhere nearpeak Plenty flipped amp starting to understand BTChere to Fn stay Trend will explode when hits k amp moar at k this yr"
"1",0.656524570076716,"Negative","Not overlooking TSLA Just trying to put difpack inTSLA gt everything else over longhaulFully autonomous gtgtgt EV amp not even Fn closeWay more excited about it amp Tesla dominant GOOGL Waymo distant second amp GM YNDX BIDU AAPL NIO etc fine for hype but not close"
"2",0.550584599715512,"Positive","Maxi such a dumb term as mostly right but do think ETHBTC doublesish over yr toamp own some ETH Dont confuse them as direct competition TSLA AAPL GOOGL etc will tail MSTR SQ into BTC amp not ETH Plenty of reasons incl superior Mon Pol scale history etc"
"1",0.506927846530111,"Neutral","Google Alphabet could should acquire MercadoLibre GOOGL MELI"
"2",0.501370287315677,"Neutral","ROKU TTD PINS FB GOOGLTech companies could see blowout fourth quarters for ad revenue"
"2",0.505423573441155,"Neutral","YouTube has paid more thanbillion to creators artists and other over the last three years VergeGOOGL"
"1",0.544769366104451,"Negative","Indiana counties beat rape amp mass incarcerate Hoosiers over marijuana Its legal in Big Tech states AAPL AMZN GOOGL MSFTMilitary wives arrested formarijuana news reports officers push them into shackled somes at jailLegal marijuana states having less COVID deaths"
"2",0.520016742525735,"Positive","Americans hear Emanuel say people overwalk plank amp hear Biden claim contrary amp side w Biden When Bidens Admin is sayingthing amp doing otherMSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.534975528990564,"Negative","This was ObamaBiden years yr olds pleading during traffic stops for parents not to get shooted yr olds killed by traffic copsOfficers saying smell of marijuana made them fear for their lifeWhen marijuana is legal in Big Tech states AAPL GOOGL MSFT AMZN"
"1",0.527526372336721,"Negative","Biden Admin Appears to SayThing amp Do Other About COVID MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.52068633952793,"Negative","Nixon Admin used marijuana to institutionalize minoritiesBidens legislation did same to win praise of Congress KKK RepsBiden Bills caused millions yrs prison amp trillions debtAmericans treated as NothingsWhen marijuana is legal in Big Tech states MSFT AAPL GOOGL AMZN"
"1",0.529490434668947,"Negative","While Bidens are in the news for using cocaine with no consequences Vets with marijuana get lifeinprison under Bidens Law MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.526738963492217,"Negative","Instead of using intel to prevent worse crime Biden amp KKK wrote Bills used by corrupt Klan counties to fleece Americans amp turn them into slave labor MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.560498928643665,"Negative","The experts say that we need a genetics initiative to fight COVID Politicians are like Whut MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"2",0.557950504163871,"Positive","Inweek a contract to Apple Microsoft Google amp Amazon could reduce deaths They use computer science the keystone of modern medicine thats missing MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.509901154133381,"Neutral","Emanuel wrote those overDrain on society Biden claimed to disagree Itd be a cold day in hell before he removed Emanuel from COVID task force MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.544896180245722,"Negative","Corrupt counties beat rape amp mass incarcerate while fleecing as much money as they can under the color of the law MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"2",0.503263080836385,"Neutral","Biden included Ezekiel Emanuel on taskforce his Complete Lives System calls for reduced medical interventionoveramp no medical care afterMSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.571261494413045,"Negative","Obama pardoned few amp reason wasnt clear until fact Bidens KKK pawn is realized Biden wrote anti marijuana KKK Bills supposedly about worse crime MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"2",0.501489727879794,"Neutral","People in Indiana are sentenced to months in prison for driving on a suspended license amp roughed up over small quantities of marijuana by law enforcement in a department where officers sell cocaine MSFT GOOGL BRKB AAPL TMO GILD ISRG ILMN"
"1",0.506030736140481,"Neutral","Some drove on a suspended license Punishment Slavery no toilet Some hadof marijuana Punishement Slavery In filty conditions that cause illness amp death MSFT GOOGL BRKB AAPL TMO GILD ISRG ILMN"
"2",0.523700581813711,"Positive","During ObamaBiden Police Brutality amp Mass Incarceration was inhumaneBiden said on the Senate floor that his own Bill did everything except hang people for jaywalking amp gave people Life Prison for marijuana when legal in all Big Tech states AAPL GOOGL MSFT AMZN"
"1",0.555924435615801,"Negative","Modern White House Admins failed Defense from equivalent of biologicalweaponsofmassdestruction is needed Isnt bc politicians cant handle moneyMSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.601364353466756,"Negative","In Indiana they dont Get a ticket motorists are dragged from their vehicles beaten tased arrested some raped by the officers they contract incurable disease amp die over traffic infractions MSFT GOOGL BRKB AAPL TMO GILD ISRG ILMN"
"2",0.536149895392494,"Positive","Millions of years prison for Americans amp trillions of dollars in debt over marijuana While Bidens are in the news for using cocaine MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.512291468420104,"Negative","Keystone of modern medicine is missing That is computer science The giant Bills like Cures Act from Fred Upton RMI wasnt so intelligently written MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.502665677562004,"Neutral","Democrats won They wanted to win If they could impeach Trumptimes at this point they would spend the nextyears doing that MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.501170697550223,"Neutral","Biden amp KKK fought for amp passed Bills that are used by corrupt Klan counties to fleece Americans amp turn them into slave laborers MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.546028050641076,"Negative","Trump amp Biden are currently sharingtrait Both Admins act like they won by landslide amp are so popular when theyre not That cost Trump the election MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.577368142916496,"Negative","EmanuelBidens philosophy is Americans dont deserve grandparents Theyre a drain on society Most realize nothing could be further from truth MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"2",0.502624691010314,"Neutral","Obama Admin cited cost of care in last year of life as reason to push hospice Instead of scientifically working to cure diseases amp bring cost down MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.520123248304145,"Negative","Biden could beterms orEmanuel sayingthing amp Biden saying other as Dems claim plan they cant explain will save day is unintelligent MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"2",0.548435574265404,"Positive","Bidens S Bill he fought for with KKK leaders caused millions years prison Veterans have been imprisoned for life by Bidens Law for marijuana MSFT GOOGL AAPL AMZN MCO GEO VTEB EDV VGIT MDT ISRG TMO MRNA PFE WMT BNTX"
"1",0.54824680329985,"Negative","Whether fed contract could go toAAPLAMZNMSFT orGOOGL every county in America should have tech to prevent COVID spread amp properly diagnose amp treatDidnt happen bcdoesnt believe in public health or medicine"
"1",0.613945276313325,"Negative","While I understand the point about IPOs its not really the issue AAPL IPOed innotx just buying GOOGL inMany examplesJust owning a diversified portfolio of index funds handily beats wage amp price inflation which is what retail investors should do"
"1",0.534639039809983,"Negative","Macron Tells Google and Microsoft to Get On Board With EU Rules SNAP FB MSFT GOOGL"
"1",0.506746817451801,"Neutral","YouTube CEO Talks Up Economic Benefits Amid Regulatory Scrutiny AAPL GOOGL"
"1",0.511157632011439,"Negative","North Korean Hackers Targeting Cybersecurity Researchers GOOGL"
"1",0.502902360129442,"Neutral","Microsoft Sales Top Projections Lifted by Robust Cloud Demand GOOGL FB MSFT"
"1",0.51538470964407,"Negative","YouTube Temporarily Suspends Rudy Giuliani From Partner Program GOOGL"
"1",0.503462946328418,"Neutral","GameStop ShortSellers Reload Bearish Bets AfterBillion Loss GS EXPR CHWY GME GOOGL"
"1",0.504075056504831,"Neutral","Google says its confident about alternatives to browser cookies that track you for ads GOOGL FB"
"1",0.515244414271318,"Negative","Tencent NearsTrillion in Latest Sign of Global Tech Bubble NIO JD MSFT GOOGL AMZN"
"2",0.504622188699236,"Neutral","Alphabet and Facebook rise after Microsoft reports surprisingly strong advertising revenue GOOGL FB MSFT FB TWTR"
"1",0.511111829176732,"Negative","Zoom and Google Outages Roil WorkFromHome Economy in US CMCSA VZ GOOGL"
"1",0.510958467323507,"Negative","YouTube says its TikTok competitor is gettingbillion views a day in India test run GOOGL"
"1",0.615178680061753,"Negative","Google Pressed in Lawsuit to Dump Telegram Just Like Parler FB AMZN AAPL GOOGL"
"2",0.506154341689517,"Neutral","Google says it wont fund members of Congress who voted against election results AMZN FB GOOGL MSFT"
"2",0.507479022778801,"Neutral","Google offers to use some of its properties for Covid vaccinations GOOGL"
"1",0.532163820056253,"Negative","via psk GOOGL nice consolidation up here high and tight similar to AMZN on watch for push tomorrow off MSFT earningsamzn"
"1",0.528000985721655,"Negative","GOOGL nice consolidation up here high and tight similar to AMZN on watch for push tomorrow off MSFT earnings"
"2",0.630160797721397,"Positive","Yes the WSB phenomena is still going and will still go but under the surface MSFT blowout earnings should launch big tech into outer space those GOOGL oh boom boom"
"1",0.503172215411572,"Neutral","GOOGL ’s atLOTTO oh my if we see"
"1",0.511432528364456,"Negative","GOOGLincoming"
"2",0.50671231778003,"Neutral","Top ChatroomJoin for both FREE amp PREMIUM SERVICESPX SPY AMZN AAPL AMD FB SHOP BYND NVDA GOOGL MSFT TSLA BA CMG INTC NFLX JPM BAC YM YMF NQ NQF ES ESF GC GLD QQQ WMT SQ TLT BABA BIDU ROKU RTY iwm VIX"
"2",0.519409321002408,"Positive","Couple of stats and quotes for the week aheadJoin our discord ESF NQF YMF SPY SPX QQQ TLT FB AMZN AAPL NVDA NFLX GOOGL TSLA XLK XLE XLF"
